Datasets;SVM linear;SVM linear std;SVM poly;SVM poly std;SVM gauss;SVM gauss std;KNN;KNN std;Arbre de decision;Arbre de decision std;Adaboost;Adaboost std;Gradient boosting;Gradient boosting std;Temps Traitement
29.41% hayes;0.7392973856209151;0.08714097633435092;0;0;0;0;0.5415917415917415;0.17748453916502077;1.0;0.0;1.0;0.0;1.0;0.0;0.0025929571461996864
80.00% heart;0.38799793645614333;0.3139354379525429;0;0;0;0;0.5171120286364019;0.0628890671504248;0.709923466820727;0.04426135386243179;1.0;0.0;0.7531838615516167;0.03823270062462492;0.0030151571429866764
56.00% iono;0.7412228694475276;0.03838937663509784;0;0;0;0;0.6791295197155203;0.08089677541828971;0.8506931605887228;0.04455025982596563;1.0;0.0;0.8974671357631265;0.03582807565035908;0.003379628577801798
7.14% libras;0.9663654492006748;0.025269693386024708;0;0;0;0;0.9755668266708707;0.01369092313556835;0.9716295277521578;0.014122875196353152;1.0;0.0;0.9859967551288206;0.01427541128484526;0.0037966285682549433
43.33% newthyroid;0.6449413816883696;0.12875989408737176;0;0;0;0;0.8291259058906117;0.056201312355116766;0.8816915151401821;0.058413055809227246;1.0;0.0;0.8787378076209912;0.07347779918266684;0.0026411571473415408
11.40% pageblocks;0.8902584890458461;0.030430796407711673;0;0;0;0;0.9689025160516976;0.005828579027900439;0.9738655767870492;0.00329466811675919;0.9806149032672549;0.002741731538866556;0.9771627647009893;0.002412779426418708;0.013221128569317184
53.60% pima;0.2803352449867395;0.21959025772280183;0;0;0;0;0.5412729677214002;0.07201384635455729;0.5502608443811345;0.04323517854883036;0.9537189649931748;0.02667290554670688;0.6346502672554102;0.032811608470772684;0.0031598999963275026
10.78% satimage;0.6743738681490891;0.2254463362295102;0;0;0;0;0.9377720135784825;0.012654654866196678;0.9389293504578633;0.003907686682384542;0.9510490750074849;0.0025265704156213604;0.9436084237913185;0.003680576643846512;0.026040914285528873
87.39% sonar;0.7067934489557716;0.06819111706184067;0;0;0;0;0.6496906711226516;0.07997378877185599;0.676221272450086;0.07334032946416112;1.0;0.0;0.7951395524959974;0.045419890349014676;0.0031538571347482502
65.06% spambase;0.6330961502840409;0.2372237775036041;0;0;0;0;0.7206134250755969;0.02259103846694356;0.888663068028829;0.012408286572681755;0.9735420966545625;0.0061815072540049;0.9283736097986479;0.006250860206329813;0.011599171432733004
92.66% splice;0.6109411500853745;0.26439824283681546;0;0;0;0;0.7955872900337813;0.0179975632203792;0.9325315108947174;0.009960038445375482;0.9683088164659385;0.004725353430353127;0.969882565602903;0.004129715149727796;0.013976028571570558
30.76% vehicle;0.7866390196042927;0.10626591039906572;0;0;0;0;0.8281016230105565;0.052336161220824566;0.8486301084063277;0.03194610446301823;1.0;0.0;0.9099970527823418;0.027274565059378513;0.0037133857092287925
59.38% wdbc;0.8258773091056855;0.05492009759423435;0;0;0;0;0.892755970212772;0.03465042424161894;0.9037739216758292;0.02180034983512542;1.0;0.0;0.9408445546601498;0.018642929274702846;0.002555928583855608
49.58% wine;0.7772450933491094;0.11841306795319584;0;0;0;0;0.862572584350523;0.04209068600466801;0.9031441793361298;0.03597249833057556;1.0;0.0;0.9392977940346363;0.04613064548972964;0.0026887714214223835
3.43% wine4;0.4614360742352804;0.28458786581768997;0;0;0;0;0.8710456719398245;0.02239348145824285;0.9141362108858694;0.0056560823441642;0.9404956884753073;0.00700735294323227;0.9275134435241794;0.008932235731632628;0.005560628570882338
12.34% yeast3;0.917063272376776;0.018501055464582132;0;0;0;0;0.9613922490946452;0.012284594312706842;0.9534984618312319;0.005246503402245282;0.9938483905813555;0.00510396893193681;0.9672691237864719;0.004889635005016;0.0048719571454317444
2.42% yeast6;0.901414118943403;0.006164841451249042;0;0;0;0;0.9614989800482974;0.008853082507461378;0.9675114406325142;0.005150043755110471;0.9957690664730888;0.003924520655371784;0.9737937870844384;0.0036140885386688544;0.005987228567911578
Mean;0.6627665569753871;0.1352471522149757;0;0;0;0;0.7682303003791391;0.04279780671116233;0.8435809541586542;0.025165515772545763;0.9697252083206505;0.004885178267684372;0.8778856864109449;0.0222451819741317;0.02090622275044018
